GlobalID,Detection Date,Notes,Lab Status,Lab Comments,Submission Date,Latitude,Longitude,FileName,FileType,S_0,S_1,S_2,S_3,S_4,max_pos,max_val,index
{5AC8034E-5B46-4294-85F0-5B13117EBEFE},2019/12/8,"One dead wasp seen in Blaine, and suspect flying nearby",Positive ID, ,2020/1/15,48.980994,-122.688503,ATT1_DSCN9647.jpg,image/jpg,8.678495407104492,-9.861848831176758,0.30912160873413086,-2.3243465423583984,2.887258291244507,0,8.678495407104492,1071
{C4F44511-EA53-4FCF-9422-E1C57703720D},2020/2/29,"I’m not sure what this is, but it was the biggest looking wasp/hornet I’ve ever seen, at least an inch long. Sorry for the poor quality picture, I went inside to get a glass to catch it and it flew away.",Negative ID,This is a large fly that mimics bees! Thanks for submitting it.,2020/2/29,48.729596,-122.480035,ATT10_67EAF187-B59C-4F5F-BAAC-9F76E06A96D6.jpg,image/jpg,-2.473987340927124,-6.061531066894531,6.907933712005615,3.2225406169891357,-1.194846749305725,2,6.907933712005615,105
{89C867F1-D5ED-48C8-9586-B705F5DA9838},2019/9/7,"slow moving, i have this in the freezer still i think. I saw 3 of them 98588",Negative ID,Thank you for this submission. This is a harmless native golden digger wasp:  ,2020/3/18,47.395721,-123.105188,ATT11_wierd hornet sept 2019.jpg,image/jpg,7.073953628540039,-6.749934673309326,0.30802035331726074,9.275737762451172,-9.466630935668945,3,9.275737762451172,213
{81670D96-4143-47B1-A9C8-83977892D53F},2020/3/19,It landed on my window while working. It walked around and then bounced across it as it tried to fly into the glass.,Negative ID,Hello! This one is a Yellowjacket:  ,2020/3/19,47.840041,-122.323562,ATT12_35736840-588C-47B3-B81B-454ABFAE6A53.jpg,image/jpg,-7.15570068359375,-4.591521739959717,5.305430889129639,3.843207836151123,3.5284042358398438,2,5.305430889129639,320
{81670D96-4143-47B1-A9C8-83977892D53F},2020/3/19,It landed on my window while working. It walked around and then bounced across it as it tried to fly into the glass.,Negative ID,Hello! This one is a Yellowjacket:  ,2020/3/19,47.840041,-122.323562,ATT13_F162126B-4A5E-4068-92EB-95392E2F6919.jpg,image/jpg,-3.4695677757263184,-8.317354202270508,0.3571512699127197,0.8522604703903198,11.243778228759766,4,11.243778228759766,428
{81670D96-4143-47B1-A9C8-83977892D53F},2020/3/19,It landed on my window while working. It walked around and then bounced across it as it tried to fly into the glass.,Negative ID,Hello! This one is a Yellowjacket:  ,2020/3/19,47.840041,-122.323562,ATT14_4EDB0785-9402-49B4-8FB6-CDBE0A3204E3.jpg,image/jpg,-3.285135269165039,-7.535495758056641,1.1610451936721802,2.186753273010254,7.888329982757568,4,7.888329982757568,536
{81670D96-4143-47B1-A9C8-83977892D53F},2020/3/19,It landed on my window while working. It walked around and then bounced across it as it tried to fly into the glass.,Negative ID,Hello! This one is a Yellowjacket:  ,2020/3/19,47.840041,-122.323562,ATT15_B83CA488-6286-4934-BA68-A0BD5DF03D1F.jpg,image/jpg,-9.284515380859375,-1.5938551425933838,8.616464614868164,1.082316517829895,2.150761127471924,2,8.616464614868164,646
{D30895B7-3994-45A3-BD51-E5BA881833FD},2019/8/30,"Probably not an Asain Hornet but still a pretty mean looking one that I can't I.D. Second sighting that day, both found while cutting down dead Hemlock trees.",Negative ID,"Hello! This is a native wood-boring wasp, in the genus Urocerus:  ",2020/3/19,47.635058,-122.057332,ATT16_Giant Hornet Sahalee Country Club 9.29.2019.jpg,image/jpg,2.117236375808716,-8.549304962158203,1.4683796167373657,6.9401679039001465,-1.1696751117706299,3,6.9401679039001465,753
{5AD8CAF4-AB96-4BFA-8A08-6010C96937F1},2020/3/31,"Not sure if this is the target pest, but I figured we would send the picture in for examination. The head came off when we removed the pest from the cowling on an engine.",Negative ID,"Thanks for your submission! This is a paper wasp, common in our area.",2020/3/31,46.609918,-120.563107,ATT17_F38FCA9B-3D90-4079-8372-BA7A6D509BDF.jpg,image/jpg,2.4873597621917725,-11.352195739746094,10.11389446258545,3.478956699371338,-4.560735702514648,2,10.11389446258545,860
{8DFDA283-3AFD-4E9F-9878-7A0F22E1B917},2019/7/23,not sure if this is one. but in case it is. Saw it at Bayview farm and garden nursery on Whidbey Island,Negative ID,"This one is one of our native species, Sphex ichneumoneus.",2020/4/1,48.006763,-122.462053,ATT18_IMG_2855.jpg,image/jpg,-22.451427459716797,6.370548248291016,3.728548765182495,12.17997932434082,0.821739673614502,3,12.17997932434082,964
{8DFDA283-3AFD-4E9F-9878-7A0F22E1B917},2019/7/23,not sure if this is one. but in case it is. Saw it at Bayview farm and garden nursery on Whidbey Island,Negative ID,"This one is one of our native species, Sphex ichneumoneus.",2020/4/1,48.006763,-122.462053,ATT19_IMG_2858.jpg,image/jpg,-14.405126571655273,5.115954875946045,7.398209571838379,7.210957050323486,-4.100615501403809,2,7.398209571838379,1070
